1,netflix.com
2,api-global.netflix.com
3,google.com
4,www.google.com
5,microsoft.com
6,facebook.com
7,ichnaea.netflix.com
8,doubleclick.net
9,g.doubleclick.net
10,googleads.g.doubleclick.net
11,google-analytics.com
12,clients4.google.com
13,safebrowsing.googleapis.com
14,www.googleapis.com
15,www.facebook.com
16,apple.com
17,www.google-analytics.com
18,googleadservices.com
19,youtube.com
20,googleusercontent.com
21,fonts.googleapis.com
22,data.microsoft.com
23,live.com
24,www.googleadservices.com
25,clientservices.googleapis.com
26,fbcdn.net
27,googlesyndication.com
28,graph.facebook.com
29,amazonaws.com
30,nflximg.com
31,nccp.netflix.com
32,settings-win.data.microsoft.com
33,pagead2.googlesyndication.com
34,cdn-0.nflximg.com
35,www.youtube.com
36,xx.fbcdn.net
37,nrdp.nccp.netflix.com
38,adservice.google.com
39,clients1.google.com
40,secure.netflix.com
41,customerevents.netflix.com
42,ytimg.com
43,accounts.google.com
44,bing.com
45,update.googleapis.com
46,hola.org
47,nrdp50-appboot.netflix.com
48,dns-test1.hola.org
49,apis.google.com
50,yahoo.com
51,play.google.com
52,facebook.net
53,connect.facebook.net
54,akamaiedge.net
55,i.ytimg.com
56,mtalk.google.com
57,akadns.net
58,stats.g.doubleclick.net
59,twitter.com
60,icloud.com
61,lh3.googleusercontent.com
62,com.akadns.net
63,www.apple.com
64,tpc.googlesyndication.com
65,skype.com
66,scorecardresearch.com
67,securepubads.g.doubleclick.net
68,vortex-win.data.microsoft.com
69,play.googleapis.com
70,ssl.google-analytics.com
71,officeapps.live.com
72,cm.g.doubleclick.net
73,msn.com
74,clients.google.com
75,itunes.apple.com
76,adnxs.com
77,symcd.com
78,android.clients.google.com
79,ggpht.com
80,msedge.net
81,push.apple.com
82,googletagmanager.com
83,www.googletagmanager.com
84,instagram.com
85,l.google.com
86,crl.microsoft.com
87,static.xx.fbcdn.net
88,notifications.google.com
89,digicert.com
90,googlevideo.com
91,ajax.googleapis.com
92,clients2.google.com
93,googletagservices.com
94,www.googletagservices.com
95,clients3.google.com
96,2mdn.net
97,edge-mqtt.facebook.com
98,v10.vortex-win.data.microsoft.com
99,ls.apple.com
100,apple-dns.net
101,ipv6.microsoft.com
102,ocsp.digicert.com
103,fe.apple-dns.net
104,s0.2mdn.net
105,edge.skype.com
106,rubiconproject.com
107,ad.doubleclick.net
108,crashlytics.com
109,login.live.com
110,nexusrules.officeapps.live.com
111,translate.googleapis.com
112,time-ios.apple.com
113,www.icloud.com
114,www.bing.com
115,office365.com
116,sb.scorecardresearch.com
117,advertising.com
118,config.edge.skype.com
119,bluekai.com
120,ogs.google.com
121,adsrvr.org
122,demdex.net
123,msftncsi.com
124,mathtag.com
125,nexus.officeapps.live.com
126,openx.net
127,ib.adnxs.com
128,init-p01st.push.apple.com
129,ntp.org
130,pool.ntp.org
131,casalemedia.com
132,weather.microsoft.com
133,staticxx.facebook.com
134,moatads.com
135,windows.com
136,client-office365-tas.msedge.net
137,criteo.com
138,aaplimg.com
139,g.aaplimg.com
140,aria.microsoft.com
141,pipe.aria.microsoft.com
142,nflxso.net
143,dsce9.akamaiedge.net
144,everesttech.net
145,scontent.xx.fbcdn.net
146,mp.microsoft.com
147,e6858.dsce9.akamaiedge.net
148,init.itunes.apple.com
149,settings.crashlytics.com
150,googleads4.g.doubleclick.net
151,addthis.com
152,outlook.office365.com
153,1.nflxso.net
154,a.akamaiedge.net
155,match.adsrvr.org
156,akamai.net
157,agkn.com
158,dpm.demdex.net
159,rlcdn.com
160,pixel.rubiconproject.com
161,cloudflare.com
162,clients6.google.com
163,tags.bluekai.com
164,mail.google.com
165,bidswitch.net
166,x.bidswitch.net
167,quantserve.com
168,whatsapp.net
169,outlook.com
170,c10r.facebook.com
171,tile-service.weather.microsoft.com
172,cdnjs.cloudflare.com
173,sync.mathtag.com
174,twimg.com
175,platform.twitter.com
176,windows.net
177,clients5.google.com
178,idsync.rlcdn.com
179,amazon-adsystem.com
180,us-u.openx.net
181,app-measurement.com
182,windowsupdate.com
183,yt3.ggpht.com
184,comodoca.com
185,pubads.g.doubleclick.net
186,pubmatic.com
187,dns.msftncsi.com
188,xp.apple.com
189,tapad.com
190,graph.instagram.com
191,s.ytimg.com
192,update.microsoft.com
193,static.doubleclick.net
194,taboola.com
195,secure.adnxs.com
196,onenote.net
197,cdn.onenote.net
198,mookie1.com
199,adobe.com
200,fna.fbcdn.net
201,gsp64-ssl.ls.apple.com
202,adsymptotic.com
203,krxd.net
204,amazon.com
205,b-api.facebook.com
206,d.agkn.com
207,nr-data.net
208,bam.nr-data.net
209,turn.com
210,wns.windows.com
211,smoot.apple.com
212,e4478.a.akamaiedge.net
213,p.adsymptotic.com
214,mqtt-mini.facebook.com
215,linkedin.com
216,gs-loc.apple.com
217,e.crashlytics.com
218,adsafeprotected.com
219,gmail.com
220,syndication.twitter.com
221,aa.agkn.com
222,stags.bluekai.com
223,ade.googlesyndication.com
224,pixel.advertising.com
225,rfihub.com
226,criteo.net
227,z.moatads.com
228,b-graph.facebook.com
229,cms.msn.com
230,prod.cms.msn.com
231,nexac.com
232,guzzoni.apple.com
233,mesu.apple.com
234,content.prod.cms.msn.com
235,cdn.content.prod.cms.msn.com
236,configuration.apple.com
237,ads.yahoo.com
238,newrelic.com
239,akamaihd.net
240,ybp.yahoo.com
241,opendns.com
242,btrll.com
243,mobile.pipe.aria.microsoft.com
244,adaptv.advertising.com
245,p.rfihub.com
246,docs.google.com
247,adform.net
248,beacon.krxd.net
249,go.microsoft.com
250,pinterest.com
251,imrworldwide.com
252,crwdcntrl.net
253,exelator.com
254,analytics.yahoo.com
255,client.wns.windows.com
256,c.bing.com
257,lh5.googleusercontent.com
258,gvt1.com
259,serving-sys.com
260,pr-bh.ybp.yahoo.com
261,w55c.net
262,static.criteo.net
263,pixel.tapad.com
264,teredo.ipv6.microsoft.com
265,px.moatads.com
266,mmg-fna.whatsapp.net
267,e9.akamaiedge.net
268,gateway.fe.apple-dns.net
269,geo-um.btrll.com
270,pixel.quantserve.com
271,l.doubleclick.net
272,dt.adsafeprotected.com
273,symcb.com
274,outbrain.com
275,time-ios.g.aaplimg.com
276,sr.symcd.com
277,bcp.crwdcntrl.net
278,us-east-1.elb.amazonaws.com
279,client-channel.google.com
280,gvt2.com
281,js-agent.newrelic.com
282,s.amazon-adsystem.com
283,ls-apple.com.akadns.net
284,sync.adaptv.advertising.com
285,bootstrapcdn.com
286,spotxchange.com
287,search.spotxchange.com
288,itunes-apple.com.akadns.net
289,maps.googleapis.com
290,imap.gmail.com
291,gcp.gvt2.com
292,dotomi.com
293,star.c10r.facebook.com
294,contextweb.com
295,b.scorecardresearch.com
296,sync-tm.everesttech.net
297,pki.goog
298,trc.taboola.com
299,ctldl.windowsupdate.com
300,beacons.gcp.gvt2.com
